Time(ns),ComponentType,ComponentID,EventType,Value
34.00,PE,0,RECV_FLIT,0.53
42.00,PE,0,RECV_FLIT,0.53
50.00,PE,0,RECV_FLIT,0.53
58.00,PE,0,RECV_FLIT,0.53
66.00,PE,0,RECV_FLIT,0.53
74.00,PE,0,RECV_FLIT,0.53
82.00,PE,0,RECV_FLIT,0.53
90.00,PE,0,RECV_FLIT,0.53
98.00,PE,0,RECV_FLIT,0.53
106.00,PE,0,RECV_FLIT,0.53
114.00,PE,0,RECV_FLIT,0.53
122.00,PE,0,RECV_FLIT,0.53
130.00,PE,0,RECV_FLIT,0.53
130.00,PE,0,COMPUTE_START,2.00
1000.00,PE,0,COMPUTE_START,2.04
2000.00,PE,0,COMPUTE_START,2.09
3000.00,PE,0,COMPUTE_START,2.13
4000.00,PE,0,COMPUTE_START,2.17
5000.00,PE,0,COMPUTE_START,2.20
6000.00,PE,0,COMPUTE_START,2.22
7000.00,PE,0,COMPUTE_START,2.24
8000.00,PE,0,COMPUTE_START,2.26
9000.00,PE,0,COMPUTE_START,2.27
10000.00,PE,0,COMPUTE_START,2.29
11000.00,PE,0,COMPUTE_START,2.30
12000.00,PE,0,COMPUTE_START,2.30
13000.00,PE,0,COMPUTE_START,2.31
14000.00,PE,0,COMPUTE_START,2.32
15000.00,PE,0,COMPUTE_START,2.32
16000.00,PE,0,COMPUTE_START,2.33
17000.00,PE,0,COMPUTE_START,2.33
18000.00,PE,0,COMPUTE_START,2.33
19000.00,PE,0,COMPUTE_START,2.34
20000.00,PE,0,COMPUTE_START,2.34
20130.00,PE,0,COMPUTE_END,0.50
20130.00,PE,0,SEND_FLIT,0.55
20138.00,PE,0,SEND_FLIT,0.55
20146.00,PE,0,SEND_FLIT,0.55
20154.00,PE,0,SEND_FLIT,0.55
20162.00,PE,0,SEND_FLIT,0.55
20170.00,PE,0,SEND_FLIT,0.55
20178.00,PE,0,SEND_FLIT,0.55
20186.00,PE,0,SEND_FLIT,0.55
20194.00,PE,0,SEND_FLIT,0.55
20202.00,PE,0,SEND_FLIT,0.55
20210.00,PE,0,SEND_FLIT,0.55
20218.00,PE,0,SEND_FLIT,0.55
20226.00,PE,0,SEND_FLIT,0.55
20234.00,PE,0,SEND_FLIT,0.55
20242.00,PE,0,SEND_FLIT,0.55
20250.00,PE,0,SEND_FLIT,0.55
20258.00,PE,0,SEND_FLIT,0.55
20266.00,PE,0,SEND_FLIT,0.55
20274.00,PE,0,SEND_FLIT,0.55
20282.00,PE,0,SEND_FLIT,0.55
20290.00,PE,0,SEND_FLIT,0.55
20298.00,PE,0,SEND_FLIT,0.55
20306.00,PE,0,SEND_FLIT,0.55
20314.00,PE,0,SEND_FLIT,0.55
20322.00,PE,0,SEND_FLIT,0.55
20330.00,PE,0,SEND_FLIT,0.55
20338.00,PE,0,SEND_FLIT,0.55
20346.00,PE,0,SEND_FLIT,0.55
20354.00,PE,0,SEND_FLIT,0.55
20362.00,PE,0,SEND_FLIT,0.55
21000.00,PE,0,IDLE,0.80
22000.00,PE,0,IDLE,0.75
23000.00,PE,0,IDLE,0.72
24000.00,PE,0,IDLE,0.70
25000.00,PE,0,IDLE,0.69
26000.00,PE,0,IDLE,0.69
27000.00,PE,0,IDLE,0.68
28000.00,PE,0,IDLE,0.68
29000.00,PE,0,IDLE,0.68
30000.00,PE,0,IDLE,0.68
31000.00,PE,0,IDLE,0.68
32000.00,PE,0,IDLE,0.68
33000.00,PE,0,IDLE,0.68
34000.00,PE,0,IDLE,0.68
35000.00,PE,0,IDLE,0.68
36000.00,PE,0,IDLE,0.68
37000.00,PE,0,IDLE,0.68
38000.00,PE,0,IDLE,0.68
39000.00,PE,0,IDLE,0.68
40000.00,PE,0,IDLE,0.68
41000.00,PE,0,IDLE,0.68
42000.00,PE,0,IDLE,0.68
43000.00,PE,0,IDLE,0.68
44000.00,PE,0,IDLE,0.68
45000.00,PE,0,IDLE,0.68
46000.00,PE,0,IDLE,0.68
47000.00,PE,0,IDLE,0.68
48000.00,PE,0,IDLE,0.68
49000.00,PE,0,IDLE,0.68
50000.00,PE,0,IDLE,0.68
51000.00,PE,0,IDLE,0.68
52000.00,PE,0,IDLE,0.68
53000.00,PE,0,IDLE,0.68
54000.00,PE,0,IDLE,0.68
55000.00,PE,0,IDLE,0.68
56000.00,PE,0,IDLE,0.68
57000.00,PE,0,IDLE,0.68
58000.00,PE,0,IDLE,0.68
59000.00,PE,0,IDLE,0.68
60000.00,PE,0,IDLE,0.68
61000.00,PE,0,IDLE,0.69
62000.00,PE,0,IDLE,0.69
63000.00,PE,0,IDLE,0.69
64000.00,PE,0,IDLE,0.69
65000.00,PE,0,IDLE,0.69
66000.00,PE,0,IDLE,0.69
67000.00,PE,0,IDLE,0.69
68000.00,PE,0,IDLE,0.69
69000.00,PE,0,IDLE,0.69
70000.00,PE,0,IDLE,0.69
71000.00,PE,0,IDLE,0.69
72000.00,PE,0,IDLE,0.69
73000.00,PE,0,IDLE,0.69
74000.00,PE,0,IDLE,0.69
75000.00,PE,0,IDLE,0.69
76000.00,PE,0,IDLE,0.69
77000.00,PE,0,IDLE,0.69
78000.00,PE,0,IDLE,0.69
79000.00,PE,0,IDLE,0.69
80000.00,PE,0,IDLE,0.69
81000.00,PE,0,IDLE,0.69
82000.00,PE,0,IDLE,0.69
83000.00,PE,0,IDLE,0.69
84000.00,PE,0,IDLE,0.69
